model,price_thb,img_url
718 Cayman,6600000,https://files.porsche.com/filestore/image/multimedia/none/982-718-c7-modelimage-sideshot/thumbwhite/230138a1-e874-11ea-80cd-005056bbdc38/porsche-thumbwhite.jpg
718 Boxster,6800000,https://files.porsche.com/filestore/image/multimedia/none/982-718-bo-modelimage-sideshot/thumbwhite/22f2d22d-fa4e-11e9-80c6-005056bbdc38/porsche-thumbwhite.jpg
718 Cayman T,5400000,https://files.porsche.com/filestore/image/multimedia/none/982-718-c7-t-modelimage-sideshot/thumbwhite/352a7231-fa4e-11e9-80c6-005056bbdc38/porsche-thumbwhite.jpg
718 Boxster T,5600000,https://files.porsche.com/filestore/image/multimedia/none/982-718-bo-t-modelimage-sideshot/thumbwhite/4e3a3052-fa54-11e9-80c6-005056bbdc38/porsche-thumbwhite.jpg
718 Cayman S,7800000,https://files.porsche.com/filestore/image/multimedia/none/982-718-c7s-modelimage-sideshot/thumbwhite/0902e663-b529-11ea-80ca-005056bbdc38/porsche-thumbwhite.jpg
718 Boxster S,7900000,https://files.porsche.com/filestore/image/multimedia/none/982-718-bos-modelimage-sideshot/thumbwhite/e5611e90-fa4f-11e9-80c6-005056bbdc38/porsche-thumbwhite.jpg
718 Cayman GTS 4.0,8700000,https://files.porsche.com/filestore/image/multimedia/none/982-718-c7-gts-4-modelimage-sideshot/thumbwhite/ab836e3a-2308-11ea-80c6-005056bbdc38/porsche-thumbwhite.jpg
718 Boxster GTS 4.0,8900000,https://files.porsche.com/filestore/image/multimedia/none/982-718-bo-gts-4-modelimage-sideshot/thumbwhite/d5906520-2308-11ea-80c6-005056bbdc38/porsche-thumbwhite.jpg
Boxster 25 years,9990000,https://files.porsche.com/filestore/image/multimedia/none/modelseries-718-models-25yr-boxster-modelimage/thumbwhite/fb18f392-3ad5-11eb-80d0-005056bbdc38/porsche-thumbwhite.jpg
718 Cayman GT4,10500000,https://files.porsche.com/filestore/image/multimedia/none/982-718gt4-modelimage-sideshot/thumbwhite/3c0c6b3d-fa4e-11e9-80c6-005056bbdc38/porsche-thumbwhite.jpg
718 Spyder,10200000,https://files.porsche.com/filestore/image/multimedia/none/982-718spyder-modelimage-sideshot/thumbwhite/e9f11134-fa4e-11e9-80c6-005056bbdc38/porsche-thumbwhite.jpg
