model,price_thb,img_url
The new 911 Carrera,9900000,https://files.porsche.com/filestore/image/multimedia/none/992-c2-modelimage-sideshot/thumbwhite/d781effb-fa53-11e9-80c6-005056bbdc38/porsche-thumbwhite.jpg
The new 911 Carrera Cabriolet,11400000,https://files.porsche.com/filestore/image/multimedia/none/992-c2cab-modelimage-sideshot/thumbwhite/f41d6013-fa50-11e9-80c6-005056bbdc38/porsche-thumbwhite.jpg
The new 911 Carrera 4,10800000,https://files.porsche.com/filestore/image/multimedia/none/992-c4-modelimage-sideshot/thumbwhite/85aec76c-fa4f-11e9-80c6-005056bbdc38/porsche-thumbwhite.jpg
The new 911 Carrera 4 Cabriolet,12100000,https://files.porsche.com/filestore/image/multimedia/none/992-c4cab-modelimage-sideshot/thumbwhite/df4b2fa8-fa53-11e9-80c6-005056bbdc38/porsche-thumbwhite.jpg
The new 911 Carrera S,11500000,https://files.porsche.com/filestore/image/multimedia/none/992-c2s-modelimage-sideshot/thumbwhite/f49350d6-e826-11e8-bec8-0019999cd470/porsche-thumbwhite.jpg
The new 911 Carrera S Cabriolet,12750000,https://files.porsche.com/filestore/image/multimedia/none/992-c2scab-modelimage-sideshot/thumbwhite/7c1e22c8-fa4f-11e9-80c6-005056bbdc38/porsche-thumbwhite.jpg
The new 911 Carrera 4S,12200000,https://files.porsche.com/filestore/image/multimedia/none/992-c4s-modelimage-sideshot/thumbwhite/446ee46d-f15e-11e8-bec8-0019999cd470/porsche-thumbwhite.jpg
The new 911 Carrera 4S Cabriolet,13450000,https://files.porsche.com/filestore/image/multimedia/none/992-c4scab-modelimage-sideshot/thumbwhite/ae12a806-fa4d-11e9-80c6-005056bbdc38/porsche-thumbwhite.jpg
911 Targa 4,12100000,https://files.porsche.com/filestore/image/multimedia/none/992-ta4-modelimage-sideshot/thumbwhite/da0d7984-7e47-11ea-80c9-005056bbdc38/porsche-thumbwhite.jpg
911 Targa 4S,13450000,https://files.porsche.com/filestore/image/multimedia/none/992-ta4s-modelimage-sideshot/thumbwhite/fc4a09fc-7e47-11ea-80c9-005056bbdc38/porsche-thumbwhite.jpg
911 Targa 4S Heritage Design Edition,16900000,https://files.porsche.com/filestore/image/multimedia/none/992-ta4s-hde-modelimage-sideshot/thumbwhite/953e4935-742d-11ea-80c9-005056bbdc38/porsche-thumbwhite.jpg
911 Turbo,18000000,https://files.porsche.com/filestore/image/multimedia/none/911-tu-modelimage-sideshot/thumbwhite/1407faf5-b0a6-11ea-80ca-005056bbdc38/porsche-thumbwhite.jpg
911 Turbo Cabriolet,19200000,https://files.porsche.com/filestore/image/multimedia/none/911-tu-cab-modelimage-sideshot/thumbwhite/49eb428b-b0a6-11ea-80ca-005056bbdc38/porsche-thumbwhite.jpg
911 Turbo S,20900000,https://files.porsche.com/filestore/image/multimedia/none/911-tus-modelimage-sideshot/thumbwhite/930894f2-6214-11ea-80c8-005056bbdc38/porsche-thumbwhite.jpg
911 Turbo S Cabriolet,22100000,https://files.porsche.com/filestore/image/multimedia/none/911-tus-cab-modelimage-sideshot/thumbwhite/0be56286-3e8c-11ea-80c8-005056bbdc38/porsche-thumbwhite.jpg
Taycan,6190000,https://files.porsche.com/filestore/image/multimedia/none/j1-taycan-modelimage-sideshot/thumbwhite/a6ba36c4-b6e1-11ea-80ca-005056bbdc38/porsche-thumbwhite.jpg
Taycan 4S,7100000,https://files.porsche.com/filestore/image/multimedia/none/j1-taycan-4s-modelimage-sideshot/thumbwhite/01c0f8e7-fa54-11e9-80c6-005056bbdc38/porsche-thumbwhite.jpg
Taycan Turbo,9900000,https://files.porsche.com/filestore/image/multimedia/none/j1-taycan-tu-modelimage-sideshot/thumbwhite/d51d804e-fa4d-11e9-80c6-005056bbdc38/porsche-thumbwhite.jpg
Taycan Turbo S,11700000,https://files.porsche.com/filestore/image/multimedia/none/j1-taycan-tu-s-modelimage-sideshot/thumbwhite/8d980c14-ac79-11e9-80c4-005056bbdc38/porsche-thumbwhite.jpg
Panamera,,https://files.porsche.com/filestore/image/multimedia/none/971-g2-2nd-v6-modelimage-sideshot/thumbwhite/e4d92210-d31f-11ea-80cc-005056bbdc38/porsche-thumbwhite.jpg
Panamera 4,,https://files.porsche.com/filestore/image/multimedia/none/971-g2-2nd-4-modelimage-sideshot/thumbwhite/e4d92210-d31f-11ea-80cc-005056bbdc38/porsche-thumbwhite.jpg
Panamera 4 Executive,,https://files.porsche.com/filestore/image/multimedia/none/971-g2-2nd-4-e-modelimage-sideshot/thumbwhite/7bf5ef76-12d3-11eb-80ce-005056bbdc38/porsche-thumbwhite.jpg
Panamera 4 Sport Turismo,,https://files.porsche.com/filestore/image/multimedia/none/971-g2-2nd-4-st-modelimage-sideshot/thumbwhite/78b35ec4-d320-11ea-80cc-005056bbdc38/porsche-thumbwhite.jpg
Panamera 4 E-Hybrid,7300000,https://files.porsche.com/filestore/image/multimedia/none/971-g2-2nd-4-e-hy-modelimage-sideshot/thumbwhite/77f450cb-fd8e-11ea-80ce-005056bbdc38/porsche-thumbwhite.jpg
Panamera 4 E-Hybrid Executive,7700000,https://files.porsche.com/filestore/image/multimedia/none/971-g2-2nd-4-e-hy-e-modelimage-sideshot/thumbwhite/5c2753d4-fd8e-11ea-80ce-005056bbdc38/porsche-thumbwhite.jpg
Panamera 4 E-Hybrid Sport Turismo,7500000,https://files.porsche.com/filestore/image/multimedia/none/971-g2-2nd-4-e-hy-st-modelimage-sideshot/thumbwhite/a85da7cb-fd8e-11ea-80ce-005056bbdc38/porsche-thumbwhite.jpg
Panamera 4S E-Hybrid,8400000,https://files.porsche.com/filestore/image/multimedia/none/971-g2-2nd-4s-e-hy-modelimage-sideshot/thumbwhite/d73badc0-d320-11ea-80cc-005056bbdc38/porsche-thumbwhite.jpg
Panamera GTS,15100000,https://files.porsche.com/filestore/image/multimedia/none/971-g2-2nd-gts-modelimage-sideshot/thumbwhite/9b546b2c-d321-11ea-80cc-005056bbdc38/porsche-thumbwhite.jpg
Panamera GTS Sport Turismo,15300000,https://files.porsche.com/filestore/image/multimedia/none/971-g2-2nd-gts-st-modelimage-sideshot/thumbwhite/a05894c3-d338-11ea-80cc-005056bbdc38/porsche-thumbwhite.jpg
Panamera Turbo S,17300000,https://files.porsche.com/filestore/image/multimedia/none/971-g2-2nd-tus-modelimage-sideshot/thumbwhite/d4198e6b-d324-11ea-80cc-005056bbdc38/porsche-thumbwhite.jpg
Panamera Turbo S E-Hybrid,17800000,https://files.porsche.com/filestore/image/multimedia/none/971-g2-2nd-tus-hy-modelimage-sideshot/thumbwhite/5b5a1fb7-fd90-11ea-80ce-005056bbdc38/porsche-thumbwhite.jpg
Macan,4900000,https://files.porsche.com/filestore/image/multimedia/none/pa-r4-modelimage-sideshot/thumbwhite/51d60409-8f3f-11e8-8d30-0019999cd470/porsche-thumbwhite.jpg
Macan S,5900000,https://files.porsche.com/filestore/image/multimedia/none/pa-s-modelimage-sideshot/thumbwhite/236fd594-fa51-11e9-80c6-005056bbdc38/porsche-thumbwhite.jpg
Macan GTS,6900000,https://files.porsche.com/filestore/image/multimedia/none/pa-gts-modelimage-sideshot/thumbwhite/7dc6eb2c-11fe-11ea-80c6-005056bbdc38/porsche-thumbwhite.jpg
Macan Turbo,8900000,https://files.porsche.com/filestore/image/multimedia/none/pa-tu-modelimage-sideshot/thumbwhite/29c78500-fa51-11e9-80c6-005056bbdc38/porsche-thumbwhite.jpg
Cayenne,7900000,https://files.porsche.com/filestore/image/multimedia/none/9ya-e3-v6-modelimage-sideshot/thumbwhite/6502ad75-a4e1-11ea-80ca-005056bbdc38/porsche-thumbwhite.jpg
Cayenne Coupé,8100000,https://files.porsche.com/filestore/image/multimedia/none/9yb-e3-c-modelimage-sideshot/thumbwhite/c80c6076-fa4d-11e9-80c6-005056bbdc38/porsche-thumbwhite.jpg
Cayenne E-Hybrid,6300000,https://files.porsche.com/filestore/image/multimedia/none/9ya-e3-v6-e-hy-modelimage-sideshot/thumbwhite/ea4fc5f9-fa53-11e9-80c6-005056bbdc38/porsche-thumbwhite.jpg
Cayenne E-Hybrid Coupé,6500000,https://files.porsche.com/filestore/image/multimedia/none/9yb-e3c-e-hy-modelimage-sideshot/thumbwhite/f2e873b1-fa53-11e9-80c6-005056bbdc38/porsche-thumbwhite.jpg
Cayenne S,9400000,https://files.porsche.com/filestore/image/multimedia/none/9ya-e3-s-modelimage-sideshot/thumbwhite/06f204f7-fa50-11e9-80c6-005056bbdc38/porsche-thumbwhite.jpg
Cayenne S Coupé,9900000,https://files.porsche.com/filestore/image/multimedia/none/9yb-e3-c-s-modelimage-sideshot/thumbwhite/f2e873b3-fa53-11e9-80c6-005056bbdc38/porsche-thumbwhite.jpg
Cayenne GTS,12200000,https://files.porsche.com/filestore/image/multimedia/none/9ya-e3-gts-modelimage-sideshot/thumbwhite/52ea1389-a4e1-11ea-80ca-005056bbdc38/porsche-thumbwhite.jpg
Cayenne GTS Coupé,12400000,https://files.porsche.com/filestore/image/multimedia/none/9yb-e3c-gts-modelimage-sideshot/thumbwhite/74336406-a4e1-11ea-80ca-005056bbdc38/porsche-thumbwhite.jpg
Cayenne Turbo,14900000,https://files.porsche.com/filestore/image/multimedia/none/9ya-e3-tu-modelimage-sideshot/thumbwhite/62647218-fa4e-11e9-80c6-005056bbdc38/porsche-thumbwhite.jpg
Cayenne Turbo Coupé,15500000,https://files.porsche.com/filestore/image/multimedia/none/9yb-e3-c-tu-modelimage-sideshot/thumbwhite/f98a0c8f-fa53-11e9-80c6-005056bbdc38/porsche-thumbwhite.jpg
Cayenne Turbo S E-Hybrid,17800000,https://files.porsche.com/filestore/image/multimedia/none/9ya-e3-tu-s-e-hy-modelimage-sideshot/thumbwhite/7a324fd8-fa54-11e9-80c6-005056bbdc38/porsche-thumbwhite.jpg
Cayenne Turbo S E-Hybrid Coupé,18200000,https://files.porsche.com/filestore/image/multimedia/none/9yb-e3c-tu-s-e-hy-modelimage-sideshot/thumbwhite/ce857142-fa4d-11e9-80c6-005056bbdc38/porsche-thumbwhite.jpg
