model,price_usd,power_hp,torque_lb-ft,weight_lbs,link,img_url
Multistrada V2 S,17895.0,113,71,445,https://www.ducati.com//us/en/bikes/multistrada/multistrada-v2,https://images.ctfassets.net/x7j9qwvpvr5s/5OgBfBbZCv1nCKtC4aBge7/4ae11f7068b6c338f5efd3254e00555e/Model-Menu-MY22-MTS-V2S-Gr-v02.png
Multistrada V4,19995.0,170,92,478,https://www.ducati.com/https://www.ducati.com/us/en/bikes/multistrada/multistrada-v4,https://images.ctfassets.net/x7j9qwvpvr5s/2bjONRSqaLbubgDYtfeM2y/d4b7bd672a443034c162d6628bac5317/Model-Menu-MY21-Multistrada-V4-Red.png
Multistrada V4 S,25795.0,170,92,480,https://www.ducati.com/https://www.ducati.com/us/en/bikes/multistrada/multistrada-v4,https://images.ctfassets.net/x7j9qwvpvr5s/3y8XAAHn21xyhZKca9duWE/3bfed00e0947e304588387addb19114b/Model-Menu-MY21-Multistrada-V4-S-Red.png
V4 S Sport,27945.0,170,92,478,https://www.ducati.com/https://www.ducati.com/us/en/bikes/multistrada/multistrada-v4,https://images.ctfassets.net/x7j9qwvpvr5s/1h8Ce0vZWyZy4XdUMBw8za/b98dfd193f577457f115947c708dbf4a/Model-Menu-MY21-Multistrada-V4-S-SP-v02.png
Multistrada 1260 Enduro,22095.0,158,94,496,https://www.ducati.com//us/en/bikes/multistrada/multistrada-1260-enduro,https://images.ctfassets.net/x7j9qwvpvr5s/7HEhUpjp5qDluseh3qotOO/155d1d0d9f922598306c207843588911/Model-Menu-MY20-Multistrada-1260-Enduro-Sand.png
Panigale V2 Bayliss,21000.0,155,76.7,385,https://www.ducati.com//us/en/bikes/panigale/panigale-v2-bayliss-1st-championship-20th-anniversary,https://images.ctfassets.net/x7j9qwvpvr5s/7AHGO3zch7PVqNRJ4Jl5he/110516d42388c33e433e183ef679e270/Model-Menu-MY22-PV2-Bayliss.png
Panigale V2,17195.0,155,76.7,388,https://www.ducati.com/https://www.ducati.com/us/en/bikes/panigale/panigale-v2,https://images.ctfassets.net/x7j9qwvpvr5s/7zHH2usTp5o3opX2zqMnG2/aee1efdc3c8e36f0f288645a1fe5cad8/Model-Menu-MY20-Panigale-V2-White.png
,23295.0,210,90.6,386,https://www.ducati.com//us/en/bikes/panigale/panigale-v4,https://images.ctfassets.net/x7j9qwvpvr5s/ZyYUtfF8mAe0kZmXFG72c/20efdefb59bc3fdfa95406e07500a8c5/Model-Menu-MY22-Panigale-V4.png
Panigale V4 S,29995.0,210,90.6,384,https://www.ducati.com//us/en/bikes/panigale/panigale-v4,https://images.ctfassets.net/x7j9qwvpvr5s/1En4xiMmT63cqUWSisOBFF/15259ffd43202609996fb8bb94d215a8/Model-Menu-MY22-Panigale-V4-S.png
Panigale V4 SP,37000.0,214,91.5,381,https://www.ducati.com/https://www.ducati.com/us/en/bikes/panigale/panigale-v4-sp,https://images.ctfassets.net/x7j9qwvpvr5s/4ESLmFvFD744IdxvGYq3uN/92a4853aa4452686f34b4003fbb8863b/Model-Menu-MY21-Panigale-V4-SP.png
Panigale V4 R,40000.0,234,83,379,https://www.ducati.com//us/en/bikes/panigale/panigale-v4-r,https://images.ctfassets.net/x7j9qwvpvr5s/4UOomM6V9hOHEj37ly7bpx/736b1480ddf17ee944f3f111ed206d88/Model-Menu-MY20-Panigale-V4-R-Red.png
Superleggera V4,,234,87.7,335.5,https://www.ducati.com/https://www.ducati.com/us/en/bikes/panigale/superleggera-v4,https://images.ctfassets.net/x7j9qwvpvr5s/44VVijspCKvE6idM0PKlyi/6f095c98e8c66b4d27d2c56d2fdce0f5/Model-Menu-MY20-Superleggera-V4.png
SuperSport 950,13995.0,110,69,405,https://www.ducati.com/https://www.ducati.com/us/en/bikes/supersport/supersport-950,https://images.ctfassets.net/x7j9qwvpvr5s/VX5ylyIcdNU8mAkEgi3i9/ec91184846c53fd5da0f40d891112963/Model-Menu-MY21-SuperSport-950-Ducati-Red.png
SuperSport 950 S,16195.0,110,69,405,https://www.ducati.com/https://www.ducati.com/us/en/bikes/supersport/supersport-950,https://images.ctfassets.net/x7j9qwvpvr5s/6xHmWGo24HLoZAEwrl2uxZ/d4c5e4099cec644d6c7feb10350c1dc4/Model-Menu-MY21-SuperSport-950S-Artic-White.png
1100 Tribute Pro,,,,,https://www.ducati.com/https://scramblerducati.com/us/bike/1100-tribute-pro/,https://images.ctfassets.net/x7j9qwvpvr5s/2laII0UIbjtA6Hxl4hT1in/21ab2024c621b391b79f2571941a95ff/Model-Menu-MY22-SCR-1100-Tribute.png
Urban Motard,,,,,https://www.ducati.com/https://scramblerducati.com/us/bike/urban-motard/,https://images.ctfassets.net/x7j9qwvpvr5s/1rLRzuGy3IhrQ6Vp9HcnV5/9842f49e5ffa399632001a839fb1b5bf/Model-Menu-MY22-SCR-Urban-Motard.png
1100 Sport Pro,,,,,https://www.ducati.com/https://scramblerducati.com/us/bike/1100-sport-pro,https://images.ctfassets.net/x7j9qwvpvr5s/3fMfypAewSUttp4MuC792u/0b45842ee45f7074bec06de0859d86ef/Model-Menu-MY20-1100-SportPro.png
1100 PRO,,,,,https://www.ducati.com/https://scramblerducati.com/us/bike/1100-pro,https://images.ctfassets.net/x7j9qwvpvr5s/67nehJ8ZxGFWM0lCyyAmPE/04e6f5c3d5a377667c862b5a97023c01/Model-Menu-MY20-1100-Pro-01.png
1100,,,,,https://www.ducati.com/https://scramblerducati.com/us/bike/1100,https://images.ctfassets.net/x7j9qwvpvr5s/11XCaunUpSoiMKUo20A0sI/7565a05b65134a4435b83f0b585ad390/Scrambler-1100-Yellow-Model-MY18-02-780x430.jpg
Nightshift,,,,,https://www.ducati.com/https://scramblerducati.com/us/bike/nightshift/,https://images.ctfassets.net/x7j9qwvpvr5s/t9HADJlHCAaPYU3aV8ejJ/fe748d21aaf3169d6c3235bea1795ee3/Model-Menu-MY21-Nightshift.png
Full Throttle,,,,,https://www.ducati.com/https://scramblerducati.com/us/bike/fullthrottle,https://images.ctfassets.net/x7j9qwvpvr5s/5zGnrDv1FPLoLe1aZfk3dk/652e03129ff9f2e2a8f597c2ec7aaadb/Model-Menu-MY20-Full-Throttle.png
Café Racer,,,,,https://www.ducati.com/https://scramblerducati.com/us/bike/caferacer,https://images.ctfassets.net/x7j9qwvpvr5s/3icWXCIWSA4QCiWM2k4aua/a0a9d3d0b3f8bda6b3431416211fe756/Scrambler-Cafe-Race-01-Model-MY19-01-780x430.jpg
Fasthouse Desert Sled,,,,,https://www.ducati.com/https://scramblerducati.com/us/bike/desert-sled-fasthouse/,https://images.ctfassets.net/x7j9qwvpvr5s/4nAAzDlA2u7Z4d4n3Auq3V/60c22038d6aa070121bda1133a8b196d/Model-Menu-MY21-SCR-DS-Fasthouse.png
Desert Sled,,,,,https://www.ducati.com/https://scramblerducati.com/us/bike/desertsled,https://images.ctfassets.net/x7j9qwvpvr5s/4mVEMBXXJc1FFSfQAFMzKK/443da1cd4e819ae1c26f511333557f47/Model-Menu-MY21-Desert-Sled-Blue.png
Icon Dark,,,,,https://www.ducati.com/https://scramblerducati.com/us/bike/icondark/,https://images.ctfassets.net/x7j9qwvpvr5s/1bub9q8yhrn8MqLIXToOqJ/ee3542b43a411520c6bdaecd43331cb4/Model-Menu-MY21-SCR-Icon-Dk-v04.png
Icon,,,,,https://www.ducati.com/https://scramblerducati.com/us/bike/icon,https://images.ctfassets.net/x7j9qwvpvr5s/3a5pZBm9NWFcyZigYrkZ5e/40ff70803ed511200c6de46814ab875a/Model-Menu-MY21-Icon-Red.png
E-bike model range,,,,,https://www.ducati.com/https://www.ducati.com/us/en/e-bike,https://images.ctfassets.net/x7j9qwvpvr5s/6Q1714j8GJ6SVzFeIYURYL/a791c05e96938f216453f120a3497d33/TK-01RR-780x430.jpg
MIG-S,5295.0,,,,https://www.ducati.com/https://www.ducati.com/us/en/e-bike/mig-s,https://images.ctfassets.net/x7j9qwvpvr5s/Z6A1ykHDc3TuvWIMa3ou7/0275d91ce5b5fe5593d65e9b51e50fca/Model-Menu-MY21-MIG-S.jpg
TK-01RR ,7995.0,,,,https://www.ducati.com/https://www.ducati.com/us/en/e-bike/tk-01-rr,https://images.ctfassets.net/x7j9qwvpvr5s/5FhKtKcVhuzh6Su8qpjYiR/f5a9c00b9196024b44a8756a098f03db/Model-Menu-MY21-TK-01RR.png
E-Scrambler,3995.0,,,,https://www.ducati.com/https://scramblerducati.com/us/bike/escrambler,https://images.ctfassets.net/x7j9qwvpvr5s/18av9xI18hDruGh5ynG6TC/c2a20a97177a41cb33fa089cda0be6ba/Model-Menu_MY20-e-Scrambler.png
