model,price_usd,power_hp,torque_lb-ft,weight_lbs,link,img_url
DesertX,16795.0,110,68,445,https://www.ducati.com//us/en/bikes/desertx/desertx-937,https://images.ctfassets.net/x7j9qwvpvr5s/1vwdPTpTeizmpbhcX4bN8Z/a3395d8286451d61b14583108790d8a1/Model-Menu-MY22-DesertX.png
Diavel 1260,20995.0,157,95,481,https://www.ducati.com/https://www.ducati.com/us/en/bikes/diavel/diavel-1260,https://images.ctfassets.net/x7j9qwvpvr5s/4tmKYOko7WVs6lt7ryhWrR/2311750e74833d0584c60a2d11e75d11/Model-Menu-MY20-Diavel-1260-Dark-Stealth.png
Diavel 1260 S,23395.0,157,95,481,https://www.ducati.com/https://www.ducati.com/us/en/bikes/diavel/diavel-1260,https://images.ctfassets.net/x7j9qwvpvr5s/4xgoHDIw4NqzE7ZCcvHpUu/b6d46c9d8b2c3b9c6de64797c96d1850/Model-Menu-MY22-Diavel-1260-S-BYG-v02.png
XDiavel Dark,20695.0,160,93.7,487,https://www.ducati.com/https://www.ducati.com/us/en/bikes/xdiavel/xdiavel,https://images.ctfassets.net/x7j9qwvpvr5s/zx9H7FDmx8PxIvx6jxq0x/14681c6978fd5ee345ab83212e8a0b46/Model-Menu-MY21-XDiavel-Dark.png
XDiavel S,25395.0,160,93.7,491,https://www.ducati.com/https://www.ducati.com/us/en/bikes/xdiavel/xdiavel,https://images.ctfassets.net/x7j9qwvpvr5s/4UoUHIippTXtwh6T6pVn3a/005510e8546d026c32b539ac4114e7a4/Model-Menu-MY21-XDiavel-S-Black.png
Black Star,25995.0,152,92.9,487,https://www.ducati.com/https://www.ducati.com/us/en/bikes/xdiavel/xdiavel-blackstar,https://images.ctfassets.net/x7j9qwvpvr5s/2Q4RdAaymUHdezGxllOe4s/87441c31a464de3524daf505f4c9d186/Model-Menu-MY21-XDiavel-Black-Star.png
Hypermotard 950 SP,17495.0,114,71,388,https://www.ducati.com//us/en/bikes/hypermotard/hypermotard-950,https://images.ctfassets.net/x7j9qwvpvr5s/5dQ6xxtW0MXgQ9zAgdonJP/c1e3190015ead714a8715f9350ebfdb3/Model-Menu-MY22-HYM-SP.png
Hypermotard 950,13995.0,114,71,388,https://www.ducati.com//us/en/bikes/hypermotard/hypermotard-950,https://images.ctfassets.net/x7j9qwvpvr5s/3HRkTmZ1iuXi3qbuliRu1V/1308a110bfc850b6546ff27ba719fae7/Model-Menu-MY20-Hypermotard-Red.png
Monster,11995.0,111,69,366,https://www.ducati.com/https://www.ducati.com/us/en/bikes/monster/monster,https://images.ctfassets.net/o6sr41tx16eu/78EU6CYYYetuBdA7RYGmfS/0153a46c0f14c0fb17410fc638d02eb9/MonHeader_780x430.png
Monster +,12395.0,111,69,366,https://www.ducati.com/https://www.ducati.com/us/en/bikes/monster/monster,https://images.ctfassets.net/o6sr41tx16eu/b0X3j6NjDnPockYemBmNz/fca411f7d480e193248675f489f5f934/MonPlusHeader_780x430.png
Monster 1200,14995.0,147,91,412,https://www.ducati.com//us/en/bikes/monster/monster-1200,https://images.ctfassets.net/x7j9qwvpvr5s/Kqw7k94BmSGlebeoNpPSf/87330c42148819391acd4bbf01eae482/Model-Menu-MY20-Monster-1200-Red.png
Monster 1200 S,17595.0,147,91,408,https://www.ducati.com//us/en/bikes/monster/monster-1200,https://images.ctfassets.net/x7j9qwvpvr5s/7rA3TnPK5BRGugwzxG4FL5/1dce8ca3db5d6cc1d401c11705d53a6d/Model-Menu-MY20-Monster-1200-S-Black-on-black.png
Streetfighter V2,16995.0,150,74.8,392,https://www.ducati.com//us/en/bikes/streetfighter/streetfighter-v2,https://images.ctfassets.net/x7j9qwvpvr5s/6NlhQzfCzKBmFSbwbqArl3/8797d868bfb3d20d57b818254ad37225/Model-Menu-MY22-SF-V2.png
Streetfighter V4,19995.0,208,90.4,397,https://www.ducati.com/https://www.ducati.com/us/en/bikes/streetfighter/streetfighter-v4,https://images.ctfassets.net/x7j9qwvpvr5s/1Q4wNd3l69Hupe4bEumxgB/b0c59ab172042fd70b7aaf59df996b10/Model-Menu-MY20-Streetfighter-V4-02-Red.png
Streetfighter V4 S,25195.0,208,90.4,392,https://www.ducati.com/https://www.ducati.com/us/en/bikes/streetfighter/streetfighter-v4,https://images.ctfassets.net/x7j9qwvpvr5s/4MX1OoMxm4oIKdIHvG9wft/dd0627a238f8d7feaab1d55e96345a65/Model-Menu-MY20-Streetfighter-V4-S-E4-Black.png
Streetfighter V4 SP,35500.0,208,90.4,390,https://www.ducati.com//us/en/bikes/streetfighter/streetfighter-v4-sp,https://images.ctfassets.net/x7j9qwvpvr5s/Gw1ZwbrDMpoYd8Xd0vEu6/6701fe20af307bb2ea661fcfa4f3a2e8/Model-Menu-MY22-SF-V4-SP.png
Multistrada V4 Pikes Peak ,28995.0,170,92,472,https://www.ducati.com//us/en/bikes/multistrada/multistrada-v4-pikes-peak,https://images.ctfassets.net/x7j9qwvpvr5s/5VzayBSeItSSB6S76T3B1K/55af0d88cbac06e8e0ce36d8f8a54670/Model-Menu-MY22-MTS-V4-PP.png
Multistrada 950 S Spoked Wheels,17595.0,113,71,450,https://www.ducati.com/https://www.ducati.com/us/en/bikes/multistrada/multistrada-950,https://images.ctfassets.net/x7j9qwvpvr5s/2b5YxIAGJYngIHoq2v64Bi/0b75798ae58e9dcc370bcc4252cef870/MTS-950-S-WH-GP-SW-01-model-menu-780x430-v02.png
Multistrada V2 ,15295.0,113,71,445,https://www.ducati.com//us/en/bikes/multistrada/multistrada-v2,https://images.ctfassets.net/x7j9qwvpvr5s/2NNJvlilcpSvY6sQuIH35G/1320516c26e46a3236c6bcce95bc1bd1/Model-Menu-MY22-MTS-V2.png
